LEMMA,WORDID,VALENCE,AROUSAL,EXPRESSED_MORAL,VALENCE_STD,AROUSAL_STD,EXPRESSED_MORAL_STD
abide,22,5.33333333333,5,4.16666666667,1.03279555899,2.2803508502,2.99443929086
agitation,23,3.2,6,2.8,1.92353840617,1,1.48323969742
alienate,24,3.14285714286,5.42857142857,4.28571428571,1.21498579259,2.2990681342,2.05866345916
apostasy,25,5,5,4,0,0,0
apostate,26,4.66666666667,4.33333333333,4.16666666667,1.9663841605,1.75119007154,2.5625508125
authoritarian,27,3.6,5,8.2,1.94935886896,0.707106781187,0.836660026534
authoritative,28,4.33333333333,6.33333333333,7.83333333333,2.42212028328,1.36626010213,1.60208197876
authority,29,6.6,5.6,8.8,1.67332005307,2.30217288664,0.4472135955
betrayal,30,3.14285714286,5.57142857143,3.14285714286,2.11570094205,1.90237946242,2.0354009784
bourgeoisie,31,4.71428571429,5,6.57142857143,0.951189731211,1.15470053838,2.2990681342
caste,32,4.5,5.75,6.75,1.85164019955,1.16496474502,1.98206241793
casteless,33,5.25,5.375,4.5,0.886405260428,1.18773493917,1.69030850946
class,34,5.5,4.875,6.875,1.92724822332,1.88509188863,0.834522960396
command,35,3.85714285714,6.14285714286,7.28571428571,1.21498579259,0.690065559342,1.97604704012
compliance,36,5.4,4.8,6.8,0.547722557505,1.30384048104,2.683281573
compliant,37,4.8,4.6,6,0.4472135955,0.894427191,3.16227766017
comply,38,5.5,5.5,6.83333333333,1.64316767252,2.34520787991,2.9268868558
control,39,3.33333333333,6,8,1.36626010213,1.26491106407,1.26491106407
defect,40,4.33333333333,4.83333333333,4.33333333333,1.21106014164,0.98319208025,1.75119007154
defector,41,2.6,5,2.2,1.67332005307,1.58113883008,1.788854382
defer,42,5,3.85714285714,4.57142857143,1.82574185835,1.6761634197,2.93582145558
deferential,43,4.71428571429,5.42857142857,4.42857142857,0.755928946018,1.27241802056,1.90237946242
defiance,44,4.16666666667,6.33333333333,2.83333333333,2.31660671385,1.50554530542,1.47196014439
defiant,45,5,5.83333333333,3.5,1.67332005307,1.72240142437,1.04880884817
defy,46,5.16666666667,5.33333333333,2.83333333333,2.63944438598,1.9663841605,3.12516666222
denounce,47,4.09090909091,5.09090909091,4,1.22102788294,1.3751033019,1.67332005307
deserted,48,4.4,5.2,3.8,1.51657508881,0.4472135955,1.92353840617
disloyal,49,3.44444444444,5,4.55555555556,1.42400062422,1.32287565553,1.8104634152
disloyalty,50,3.14285714286,4.14285714286,2.28571428571,1.34518541827,2.0354009784,2.21466970557
disobedience,51,4.33333333333,4.5,3.5,1.63299316186,0.547722557505,2.94957624075
disobey,52,3.83333333333,5.33333333333,3.16666666667,1.16904519445,1.36626010213,2.40138848724
disrespect,53,4,5,3.66666666667,1.65831239518,1.9364916731,1.80277563773
dissension,54,4.2,5,2.4,0.836660026534,0.707106781187,1.94935886896
dissent,55,4,6,3.83333333333,2,1.26491106407,2.85773803325
dissentient,56,5,6,4,1.29099444874,1.73205080757,2.38047614285
dissident,57,4.16666666667,5.16666666667,2,0.98319208025,2.5625508125,1.67332005307
dutiable,58,5.2,5.4,6.4,1.48323969742,1.51657508881,1.81659021246
duty,59,4.83333333333,5.83333333333,7.16666666667,1.32916013583,1.83484785927,1.83484785927
father,60,6,6.16666666667,7.66666666667,2.75680975042,2.5625508125,1.36626010213
fatherhood,61,7.8,4.8,6,0.836660026534,3.03315017762,2.5495097568
fatherless,62,3.83333333333,4.33333333333,4.66666666667,1.60208197876,2.06559111798,1.8618986725
fatherlike,63,5.8,5,4.6,2.04939015319,1.22474487139,2.5099800796
