LEMMA,WORDID,VALENCE,AROUSAL,EXPRESSED_MORAL,VALENCE_STD,AROUSAL_STD,EXPRESSED_MORAL_STD
abstinence,21,6.28571428571,4.57142857143,7.71428571429,1.79947082168,2.57275098271,1.70433620649
adulterated,22,4.5,5.16666666667,2.83333333333,1.37840487521,0.408248290464,1.60208197876
adulterine,23,3.88888888889,5.33333333333,4.11111111111,1.83333333333,1.41421356237,2.75882422621
adultery,24,1.6,4.3,1.5,0.69920589878,2.45175673979,0.707106781187
apostasy,25,3.8,5.6,3.2,1.788854382,0.894427191,1.788854382
apostate,26,4.125,5.125,3.5,2.16712449375,1.88509188863,2.07019667803
austerity,27,5.33333333333,5,5.66666666667,1.03279555899,1.26491106407,0.816496580928
blemish,28,4.16666666667,5,4,1.94079021707,2.2803508502,2.52982212813
celibacy,29,4.6,2.8,8,2.96647939484,2.16794833887,1.22474487139
celibate,30,5.375,5.375,7.625,2.19983765635,2.19983765635,2.38671920666
chaste,31,6.42857142857,4.42857142857,7.57142857143,1.39727626201,1.81265393435,2.07019667803
chastening,32,3.16666666667,4.33333333333,6.5,1.60208197876,2.16024689947,2.16794833887
church,33,5.5,6,6.83333333333,2.66458251889,2,2.13697605664
churchgoer,34,7.4,3.6,7.4,0.894427191,1.51657508881,1.67332005307
churchgoing,35,5.71428571429,5.42857142857,5.42857142857,3.25137333621,2.81999662276,3.64495737776
churchman,36,6.2,4.8,7,1.30384048104,2.4899799196,1.58113883008
clean,37,6.5,5,7.66666666667,2.16794833887,2.44948974278,1.75119007154
cleaner,38,6.66666666667,4.5,7.5,1.8618986725,1.51657508881,1.04880884817
cleanliness,39,6,3.6,7.6,1.41421356237,1.94935886896,2.19089023002
cleansing,40,7.2,5.8,8,1.30384048104,2.38746727726,0.707106781187
cleanup,41,7.33333333333,5.16666666667,6.5,1.63299316186,2.85773803325,3.08220700148
contagion,42,3.42857142857,4.57142857143,2.71428571429,1.51185789204,1.81265393435,1.38013111868
contagious,43,3.875,5,3.5,1.72688820053,1.85164019955,1.19522860933
debauchee,44,4,5.4,2.6,2.34520787991,1.1401754251,2.19089023002
debauchery,45,3.8,4.6,2.2,1.09544511501,1.51657508881,1.788854382
decent,46,7.2,3.8,8,1.64316767252,3.11448230048,1.73205080757
decentalisation,47,4.75,5,5,0.462910049886,1.30930734142,0.534522483825
depraved,48,3.75,5.25,3.25,1.83225076263,1.38873014966,1.66904592079
desecration,49,2.75,4.75,2.75,1.75254916377,1.75254916377,2.71240536372
dirt,50,3.375,4.5,2.375,1.84681192484,0.755928946018,1.59798980866
dirtily,51,3.55555555556,4.77777777778,3.22222222222,2.068278941,0.971825315808,2.58736244938
dirty,52,4,4,3,1.92724822332,1.77281052086,2.44948974278
disease,53,2.8,4.2,3,1.30384048104,1.09544511501,1.22474487139
disgustingness,54,2.83333333333,3.33333333333,2.16666666667,1.47196014439,0.816496580928,1.47196014439
exploit,55,3.33333333333,5,3.16666666667,1.63299316186,1.788854382,1.47196014439
exploitatory,56,2.71428571429,4.42857142857,2.71428571429,1.88982236505,1.13389341903,1.88982236505
filth,57,3.6,4.8,2.2,1.3416407865,0.836660026534,1.64316767252
filthily,58,5.16666666667,5.83333333333,5,0.408248290464,1.32916013583,1.41421356237
filthy,59,2.6,5.2,2,1.1401754251,0.4472135955,1.22474487139
gross,60,4,4.875,2.625,1.77281052086,0.640869944462,1.99553072067
heretic,61,3.14285714286,4.71428571429,2.57142857143,1.6761634197,2.28868854109,1.98805959478
holy,62,6,4.5,8.5,2,1.04880884817,0.836660026534
impiety,63,4.14285714286,5.28571428571,3.57142857143,1.86445447147,2.21466970557,2.14919697074
impious,64,4.6,5.4,3.2,1.1401754251,1.1401754251,1.788854382
