LEMMA,WORDID,VALENCE,AROUSAL,EXPRESSED_MORAL,VALENCE_STD,AROUSAL_STD,EXPRESSED_MORAL_STD
abandon,1468,1.8,3.8,1.6,1.09544511501,1.92353840617,0.894427191
abuse,1469,2.5,5.83333333333,2.5,1.97484176581,2.85773803325,2.34520787991
amity,1470,5.28571428571,5,5.42857142857,2.21466970557,2.64575131106,2.22539456106
annihilation,1471,1.5,6.16666666667,1.33333333333,0.836660026534,1.94079021707,0.816496580928
attack,1472,2.33333333333,5.5,2.66666666667,1.9663841605,2.5099800796,2.87518115371
benefit,1473,6.83333333333,6.33333333333,7,1.47196014439,1.8618986725,1.26491106407
brutal,1474,3.16666666667,5.66666666667,2.33333333333,1.94079021707,2.06559111798,1.50554530542
brutalise,1475,1.4,5.6,1.2,0.547722557505,1.81659021246,0.4472135955
care,1476,8.2,4,8.8,1.788854382,2.34520787991,0.4472135955
compassion,1477,7.2,4,7,0.836660026534,1.41421356237,1.58113883008
compassionate,1478,7.16666666667,5.33333333333,8.16666666667,1.47196014439,2.58198889747,1.16904519445
cruelly,1479,2,6,1.6,1.22474487139,1.73205080757,0.547722557505
cruelty,1480,2.4,6,3.4,1.94935886896,1,2.30217288664
crush,1481,2.2,5.2,2.4,1.09544511501,1.48323969742,1.51657508881
crusher,1482,3.6,5.4,2.8,2.40831891576,1.3416407865,1.48323969742
damage,1483,1.8,5.2,3,1.30384048104,1.788854382,3.46410161514
defendant,1484,3.8,5,3.2,0.836660026534,1,0.4472135955
defenestration,1485,3.66666666667,6.33333333333,3.83333333333,3.07679486912,3.01109061084,3.12516666222
defense,1486,5.6,4.4,5,1.3416407865,1.3416407865,2.5495097568
defenseless,1487,3,4.2,4.4,2.34520787991,2.2803508502,3.78153408024
destroy,1488,1.16666666667,6.5,1,0.408248290464,1.04880884817,0
detrimental,1489,3,5.4,2.4,1.41421356237,1.51657508881,1.1401754251
empathetic,1490,7,4,6.8,1.58113883008,3,1.48323969742
empathy,1491,6.83333333333,3.33333333333,8.5,1.32916013583,2.65832027165,0.836660026534
endangered,1492,4.6,4,4.6,2.07364413533,1.73205080757,3.0495901364
endangerment,1493,2.2,5.6,1.8,1.30384048104,2.60768096208,1.788854382
exploit,1494,2.66666666667,6.66666666667,2.83333333333,1.9663841605,1.8618986725,2.13697605664
fight,1495,4,7.5,4,2.52982212813,1.04880884817,3.09838667697
guard,1496,6,6,6.8,1,1.58113883008,1.09544511501
hurt,1497,2.28571428571,6.71428571429,2.28571428571,1.11269728053,0.951189731211,1.79947082168
impair,1498,2.8,4.6,2.6,1.48323969742,1.81659021246,1.51657508881
kill,1499,2.2,7,1.6,1.64316767252,2,1.3416407865
killer,1500,1.2,6.4,1,0.4472135955,1.94935886896,0
peace,1501,7.6,5,7.8,1.1401754251,3.74165738677,1.64316767252
peaceable,1502,7.42857142857,4,7.85714285714,1.27241802056,2.70801280155,1.46385010942
peacekeeping,1503,6.4,6,7.8,1.1401754251,2,1.30384048104
peacemaker,1504,7.6,4.6,8.6,0.894427191,3.28633534503,0.547722557505
peacenik,1505,5.4,4.8,6.4,2.19089023002,0.836660026534,2.5099800796
peacetime,1506,7,4.2,7.8,1.22474487139,2.58843582111,1.64316767252
preserve,1507,5.6,5.4,7.6,0.547722557505,1.51657508881,1.67332005307
protection,1508,7.6,4.8,8,0.547722557505,2.58843582111,0.707106781187
protectionism,1509,6.4,5.6,6.8,1.3416407865,1.3416407865,1.788854382
protectionist,1510,7.2,5,8.2,1.30384048104,1.87082869339,0.836660026534
protector,1511,8,4.14285714286,8.57142857143,1,2.79455252402,0.786795792469
protectorship,1512,7.6,5.6,8.8,1.1401754251,3.43511280746,0.4472135955
ravage,1513,2.8,7,3.4,1.09544511501,1.87082869339,3.36154726279
ruin,1514,2,5,1.4,0.707106781187,2.12132034356,0.547722557505
safe,1515,8.2,3.8,8.6,1.09544511501,3.4205262753,0.547722557505
safeguard,1516,6.8,5.8,6,2.2803508502,1.64316767252,2.12132034356
safehold,1517,5.8,5.4,6.6,1.09544511501,2.19089023002,1.81659021246
safekeeping,1518,7.6,4,8.8,1.1401754251,2.91547594742,0.4472135955
safety,1519,7.4,4.2,8.2,1.81659021246,3.4205262753,1.788854382
security,1520,7.8,3.4,8.2,1.09544511501,3.20936130718,0.836660026534
shelter,1521,6.8,5,7,1.64316767252,2.5495097568,2.12132034356
shield,1522,5.83333333333,5.83333333333,7.5,1.32916013583,2.40138848724,1.51657508881
spurn,1523,4.4,5.8,3,1.81659021246,2.58843582111,1.58113883008
stomp,1524,3.33333333333,5.33333333333,2.33333333333,1.9663841605,0.516397779494,1.63299316186
suffer,1525,2.2,6.2,2.6,1.64316767252,1.788854382,2.07364413533
sympathetic,1526,6.83333333333,3.5,8.33333333333,2.5625508125,2.16794833887,1.03279555899
sympathize,1527,7,3.8,8,2,2.16794833887,1.41421356237
sympathy,1528,6.42857142857,3.57142857143,8.57142857143,1.61834718743,1.61834718743,0.786795792469
violence,1529,2.83333333333,5.83333333333,1.66666666667,1.72240142437,1.47196014439,1.03279555899
violent,1530,3.16666666667,4.16666666667,2.83333333333,1.72240142437,2.22860195339,2.40138848724
war,1531,1.33333333333,4.16666666667,1.66666666667,0.516397779494,2.85773803325,1.63299316186
wound,1532,2.2,5.4,2.2,0.836660026534,1.1401754251,1.30384048104
disgusted,1547,3.4,5.4,2.8,1.34164078649987,0.447213595499958,0.894427190999916
abuse,1552,1.85714285714286,4.71428571428571,1.71428571428571,0.690065559342354,0.755928946018455,2.05866345916355
quarrel,1545,1.83333333333333,4.5,1.83333333333333,1.32916013582513,0.752772652709081,1.22474487139159
healthcare,1535,7.2,6.2,8.6,1.78885438199983,0.547722557505166,1.92353840616713
opponent,1554,3.8,4.4,3.2,1.6431676725155,1.48323969741913,0.547722557505166
refuge,1533,4.25,4.25,6.75,1.70782512765993,1.89296944860009,1.5
dignity,1550,5.75,5,7,1.5,1.4142135623731,0.816496580927726
assassin,1548,1.42857142857143,4.57142857142857,1,0.786795792469443,0,2.5727509827124
collateral,1538,3.66666666666667,5,3.83333333333333,2.16024689946929,2.92688685580203,1.26491106406735
destruction,1553,1.85714285714286,5,1.14285714285714,1.4638501094228,0.377964473009227,1.63299316185545
bang,1543,2.33333333333333,5.33333333333333,1,0.577350269189626,0,2.88675134594813
preserving,1541,6.2,4.6,7.4,0.836660026534076,0.894427190999916,0.547722557505166
annihilation,1555,2,4.83333333333333,1.16666666666667,0.894427190999916,0.408248290463863,2.04124145231932
broken,1546,2.83333333333333,4.16666666666667,2.16666666666667,0.983192080250175,0.752772652709081,1.94079021706795
intrusive,1542,2.8,4.8,2.6,0.447213595499958,0.894427190999916,1.6431676725155
wrecked,1534,2.25,3.75,1.75,1.25830573921179,0.957427107756338,2.06155281280883
critically,1551,3.6,5,3.2,0.894427190999916,1.30384048104053,1.22474487139159
upsetting,1549,3.33333333333333,4.66666666666667,3.83333333333333,1.03279555898864,1.16904519445001,1.03279555898864
