LEMMA,WORDID,VALENCE,AROUSAL,EXPRESSED_MORAL,VALENCE_STD,AROUSAL_STD,EXPRESSED_MORAL_STD
abandon,21,2,4.14285714286,1.42857142857,1.52752523165,2.73426232761,0.534522483825
ally,22,7.57142857143,6.42857142857,8.71428571429,0.786795792469,1.81265393435,0.487950036474
apostasy,23,4.6,3.4,3.8,2.07364413533,2.5099800796,2.16794833887
apostate,24,4.8,4,4.2,0.836660026534,1.73205080757,1.64316767252
betrayal,25,1.2,5.8,1,0.4472135955,2.2803508502,0
cadre,26,6,6,6,0,0,0
clique,27,4.44444444444,5.66666666667,5.88888888889,1.42400062422,0.707106781187,1.96497102043
cliquish,28,3.2,5.8,5.4,1.30384048104,1.64316767252,2.07364413533
cohort,29,5.33333333333,5.5,6,0.816496580928,1.64316767252,0.894427191
collective,30,6.5,6.16666666667,7.33333333333,1.51657508881,1.47196014439,1.63299316186
collectivism,31,6.44444444444,6,7.11111111111,1.74005108482,1.5,1.36422546198
collectivist,32,4.8,5.2,6.4,1.30384048104,1.30384048104,1.3416407865
communal,33,6.6,5.8,6.2,1.51657508881,2.16794833887,2.16794833887
commune,34,5.125,5.25,5.375,2.29518128758,2.60494036126,2.87538817255
communism,35,3.42857142857,4.85714285714,4.42857142857,2.2990681342,1.57359158494,2.57275098271
communist,36,3,5.85714285714,3.85714285714,2,1.6761634197,3.02371578407
community,37,6.4,5.4,6.2,1.67332005307,1.1401754251,1.788854382
comradeship,38,6.71428571429,6.85714285714,7.57142857143,1.70433620649,1.57359158494,1.39727626201
deceit,39,2.125,5,1.125,1.35620268186,2.07019667803,0.353553390593
deceive,40,1.5,4.16666666667,1.33333333333,0.547722557505,2.04124145232,0.516397779494
deserted,41,3.44444444444,5.33333333333,2.77777777778,1.66666666667,0.707106781187,1.78730088246
devoted,42,6.66666666667,5.16666666667,8,1.36626010213,2.22860195339,1.09544511501
devotedness,43,7.125,6.75,8,1.72688820053,1.98206241793,1.41421356237
devotee,44,6.6,5.2,7.2,2.19089023002,2.86356421266,2.04939015319
disloyal,45,3,4.85714285714,1.85714285714,1.73205080757,1.77281052086,2.26778683806
disloyalty,46,3.33333333333,3.83333333333,1.83333333333,1.50554530542,2.13697605664,1.60208197876
family,47,7.375,6.75,8,2.19983765635,1.90862703084,1.60356745147
fellow,48,6.42857142857,5.28571428571,7.14285714286,1.39727626201,2.21466970557,1.57359158494
fellowship,49,7.66666666667,5.16666666667,8.16666666667,1.50554530542,3.18852107828,1.60208197876
foreign,50,4.8,5,4.5,0.632455532034,0.471404520791,0.849836585599
group,51,6.125,5.375,6.375,1.35620268186,2.38671920666,1.40788595317
guild,52,5.42857142857,4,7.14285714286,1.13389341903,1.41421356237,1.6761634197
homeland,53,7,6.85714285714,7.14285714286,1.91485421551,1.6761634197,1.57359158494
immigration,54,4.66666666667,4.66666666667,4.83333333333,1.9663841605,1.03279555899,1.60208197876
imposter,55,2.28571428571,5.57142857143,2.28571428571,1.38013111868,2.57275098271,1.11269728053
individual,56,4.71428571429,4.57142857143,4.28571428571,2.21466970557,2.07019667803,1.88982236505
individualised,57,5.42857142857,5.28571428571,4,1.61834718743,1.70433620649,1
individualistic,58,4.8,4.8,3.8,0.836660026534,0.4472135955,1.30384048104
insider,59,5,4.75,5.625,0.534522483825,2.31455024943,2.26384628453
jilted,60,2.375,4.25,2.375,1.76776695297,1.75254916377,2.06587926628
joint,61,6.5,4.66666666667,6.83333333333,1.51657508881,2.58198889747,1.32916013583
loyal,62,7.5,6.875,8.875,1.41421356237,2.10017006114,0.353553390593
loyalist,63,5.66666666667,5.66666666667,7.55555555556,2.12132034356,2.2360679775,1.94365063162
loyalty,64,7.77777777778,6.55555555556,7.55555555556,1.78730088246,2.96273147244,2.40370085031
member,65,6.875,4.625,6.625,1.35620268186,2.13390989233,1.92260983338
miscreant,66,3.2,4,2.8,1.09544511501,1.87082869339,1.64316767252
national,67,6,4.4,5.2,0.707106781187,2.70185121722,2.16794833887
nationalisation,68,6.6,6,5.6,1.67332005307,1.58113883008,1.94935886896
nationalist,69,5.16666666667,5.83333333333,6,1.16904519445,1.47196014439,1.54919333848
nationhood,70,6.33333333333,4.66666666667,7,1.36626010213,2.3380903889,1.54919333848
nationwide,71,5.8,4.6,6,1.30384048104,1.67332005307,1.87082869339
patriot,72,7,3.85714285714,7.85714285714,2,2.91138978431,1.9518001459
renegade,73,4.66666666667,5,4.16666666667,1.03279555899,1.788854382,1.83484785927
segregation,74,5.125,6,4.75,0.991031208965,0.534522483825,0.462910049886
segregationism,75,4,5.28571428571,3.14285714286,1.15470053838,0.487950036474,1.6761634197
segregationist,76,4.5,5,4.5,1.22474487139,2.19089023002,2.58843582111
sequester,77,4.42857142857,5.71428571429,4.71428571429,1.39727626201,1.11269728053,0.755928946018
solidarity,78,6.6,6.4,8.6,1.81659021246,1.67332005307,0.547722557505
spy,79,2.625,5.625,2.875,1.68501801601,2.19983765635,2.41646140343
terrorise,80,2.6,6,1.6,1.51657508881,2.73861278753,0.894427191
terrorism,81,1.71428571429,5.85714285714,3.85714285714,0.755928946018,2.41029537807,3.18478525852
terrorist,82,2,4.83333333333,2.66666666667,1.67332005307,2.99443929086,3.20416395752
together,83,6.6,6.2,7.2,1.51657508881,1.30384048104,1.48323969742
traitor,84,2.4,4.6,1.8,1.67332005307,2.19089023002,1.788854382
treacherous,85,3.14285714286,6,1.57142857143,1.77281052086,1.73205080757,1.51185789204
unison,86,7.83333333333,5.16666666667,7.5,1.60208197876,2.71416039811,1.64316767252
united,87,7,6.33333333333,8.5,1.54919333848,2.16024689947,0.547722557505
allegiance,92,7.5,5.3,8.9,1.71593835683117,0.316227766016838,
dedication,107,5.8,6,6.4,2.28035085019828,2.07364413533277,
founder,88,6.5,6.5,6.375,1.69030850945703,2.66926956300783,
lust,105,4.85714285714286,4.85714285714286,4.42857142857143,1.95180014589707,2.76026223736942,
siding,93,6,3.83333333333333,7.5,1.78885438199983,1.97484176581315,
amity,94,7.28571428571429,5.28571428571429,7.85714285714286,2.1380899352994,2.19306265517513,
cowardice,90,2.25,6.25,3.25,1.5,2.06155281280883,
loyalist,98,7.28571428571429,4.85714285714286,8.57142857142857,1.70433620649269,0.534522483824849,
bandit,103,2.66666666666667,4.5,1.5,1.63299316185545,0.836660026534076,
nationalism,104,6.5,5.83333333333333,6.83333333333333,2.16794833886788,2.2286019533929,
consulate,101,6,6.66666666666667,6.33333333333333,2.5298221281347,2.50333111406914,
rogue,91,4.66666666666667,4.83333333333333,2.66666666666667,2.58198889747161,3.20416395751944,
insulting,99,3,6,3.5,1.4142135623731,1.29099444873581,
cruelty,96,3.33333333333333,4,3.33333333333333,1.52752523165195,3.21455025366432,
clap,102,7.25,7.5,7.5,2.06155281280883,1.91485421551268,
lovingly,106,7.4,5.8,7,0.547722557505166,0.707106781186548,
