WORD	ANNOTATOR_ID	RELEVANCE	VALENCE	AROUSAL	EXPRESSED_MORAL
belief	9403CB6F39CF6BF4E9CA24A8A49F9569	2	6	6	5
patience	DEB56FB4A4C230BB18C86EC8074E6192	1	8	2	8
indifference	9403CB6F39CF6BF4E9CA24A8A49F9569	2	5	4	5
forbid	D229CB57945C229A1E66645729FEF5A5	1	5	6	5
obedience	D229CB57945C229A1E66645729FEF5A5	1	6	4	9
mildly	D229CB57945C229A1E66645729FEF5A5	1	5	5	3
rigidly	D229CB57945C229A1E66645729FEF5A5	1	6	5	7
anxiety	D229CB57945C229A1E66645729FEF5A5	2	2	5	2
indifference	D229CB57945C229A1E66645729FEF5A5	2	4	5	3
revolt	D229CB57945C229A1E66645729FEF5A5	1	5	7	3
devoted	9403CB6F39CF6BF4E9CA24A8A49F9569	2	5	5	5
belief	D229CB57945C229A1E66645729FEF5A5	1	6	3	7
garrison	D229CB57945C229A1E66645729FEF5A5	2	4	4	3
obedience	9403CB6F39CF6BF4E9CA24A8A49F9569	1	3	5	7
exemplary	DEB56FB4A4C230BB18C86EC8074E6192	1	7	2	8
revolt	9403CB6F39CF6BF4E9CA24A8A49F9569	1	4	5	3
offence	D229CB57945C229A1E66645729FEF5A5	1	5	5	3
grandmother	9403CB6F39CF6BF4E9CA24A8A49F9569	2	5	5	5
forbid	DEB56FB4A4C230BB18C86EC8074E6192	1	2	5	2
classify	9403CB6F39CF6BF4E9CA24A8A49F9569	2	5	5	5
adultery	D229CB57945C229A1E66645729FEF5A5	1	5	5	8
adultery	9403CB6F39CF6BF4E9CA24A8A49F9569	2	2	5	5
classify	D229CB57945C229A1E66645729FEF5A5	1	5	5	5
rigidly	9403CB6F39CF6BF4E9CA24A8A49F9569	2	5	5	5
garrison	DEB56FB4A4C230BB18C86EC8074E6192	1	5	5	8
garrison	9403CB6F39CF6BF4E9CA24A8A49F9569	2	5	5	5
obedience	DEB56FB4A4C230BB18C86EC8074E6192	1	7	3	8
offence	9403CB6F39CF6BF4E9CA24A8A49F9569	2	5	5	5
patience	9403CB6F39CF6BF4E9CA24A8A49F9569	2	5	5	5
rigidly	DEB56FB4A4C230BB18C86EC8074E6192	1	3	4	3
anxiety	DEB56FB4A4C230BB18C86EC8074E6192	1	4	4	5
classify	DEB56FB4A4C230BB18C86EC8074E6192	1	5	5	5
revolt	DEB56FB4A4C230BB18C86EC8074E6192	1	5	5	2
indifference	DEB56FB4A4C230BB18C86EC8074E6192	1	3	3	3
offence	DEB56FB4A4C230BB18C86EC8074E6192	1	5	5	2
grandmother	DEB56FB4A4C230BB18C86EC8074E6192	2	5	6	5
cherish	C0364041656454DEE11C8070D0E2789E	1	8	2	7
