WORD	ANNOTATOR_ID	RELEVANCE	VALENCE	AROUSAL	EXPRESSED_MORAL
disgusted	DF566D854E2A01B124DE0782BD72F310	1	4	5	3
refuge	7FD550FC9F3A3FEAA99219589E879A56	1	2	2	7
healthcare	7FD550FC9F3A3FEAA99219589E879A56	1	9	9	9
quarrel	DF566D854E2A01B124DE0782BD72F310	1	3	5	3
leverage	7FD550FC9F3A3FEAA99219589E879A56	1	7	8	8
refuge	96CB1B215FF34C844A7538DDFB833BA1	1	5	5	8
annihilation	DF566D854E2A01B124DE0782BD72F310	1	3	5	1
upsetting	5F42BCE5CA70C6DDA097F36509A48299	1	5	5	5
quarrel	7FD550FC9F3A3FEAA99219589E879A56	1	1	3	2
preserving	7FD550FC9F3A3FEAA99219589E879A56	2	6	7	7
opponent	5F42BCE5CA70C6DDA097F36509A48299	1	5	5	3
collateral	DF566D854E2A01B124DE0782BD72F310	1	4	5	4
exempt	7FD550FC9F3A3FEAA99219589E879A56	2	7	8	8
intrusive	DF566D854E2A01B124DE0782BD72F310	1	3	5	3
opponent	DF566D854E2A01B124DE0782BD72F310	1	5	5	4
destruction	5F42BCE5CA70C6DDA097F36509A48299	1	5	5	2
destruction	7FD550FC9F3A3FEAA99219589E879A56	1	1	2	1
leverage	DF566D854E2A01B124DE0782BD72F310	2	5	5	5
opponent	B235DDECAE2B238D44A78658FB2FD532	2	6	6	5
abuse	7FD550FC9F3A3FEAA99219589E879A56	1	2	1	3
wrecked	7FD550FC9F3A3FEAA99219589E879A56	1	2	2	1
disgusted	D99C5B53A9E5C66EBB54778750BB0CFB	2	2	3	5
wrecked	DF566D854E2A01B124DE0782BD72F310	1	4	6	3
opponent	7FD550FC9F3A3FEAA99219589E879A56	1	4	4	3
destruction	B235DDECAE2B238D44A78658FB2FD532	1	1	5	1
disgusted	7FD550FC9F3A3FEAA99219589E879A56	1	4	5	3
refuge	D99C5B53A9E5C66EBB54778750BB0CFB	2	6	3	7
preserving	DF566D854E2A01B124DE0782BD72F310	1	5	4	6
destruction	96CB1B215FF34C844A7538DDFB833BA1	1	1	4	1
critically	7FD550FC9F3A3FEAA99219589E879A56	2	5	6	6
upsetting	7FD550FC9F3A3FEAA99219589E879A56	1	3	3	3
broken	DF566D854E2A01B124DE0782BD72F310	1	4	4	2
annihilation	B235DDECAE2B238D44A78658FB2FD532	1	2	5	1
bang	7FD550FC9F3A3FEAA99219589E879A56	1	2	2	1
critically	96CB1B215FF34C844A7538DDFB833BA1	1	2	3	1
destruction	DF566D854E2A01B124DE0782BD72F310	1	2	6	1
dignity	7FD550FC9F3A3FEAA99219589E879A56	2	7	8	8
critically	5F42BCE5CA70C6DDA097F36509A48299	1	4	5	3
upsetting	D99C5B53A9E5C66EBB54778750BB0CFB	2	5	4	4
intrusive	7FD550FC9F3A3FEAA99219589E879A56	1	2	2	1
refuge	DF566D854E2A01B124DE0782BD72F310	1	4	5	4
dignity	96CB1B215FF34C844A7538DDFB833BA1	1	7	5	9
assassin	7FD550FC9F3A3FEAA99219589E879A56	1	1	1	1
leverage	5F42BCE5CA70C6DDA097F36509A48299	2	5	5	5
upsetting	96CB1B215FF34C844A7538DDFB833BA1	1	2	4	2
collateral	7FD550FC9F3A3FEAA99219589E879A56	1	2	3	2
abuse	5F42BCE5CA70C6DDA097F36509A48299	1	3	5	2
critically	DF566D854E2A01B124DE0782BD72F310	1	4	6	4
annihilation	7FD550FC9F3A3FEAA99219589E879A56	1	1	1	1
