WORD	ANNOTATOR_ID	RELEVANCE	VALENCE	AROUSAL	EXPRESSED_MORAL
abstinence	A6017F3765F180AEB82A42E8140E3030	2	8	1	5
tasteless	A6017F3765F180AEB82A42E8140E3030	1	8	1	7
perversion	A6017F3765F180AEB82A42E8140E3030	1	5	5	3
hygiene	A6017F3765F180AEB82A42E8140E3030	1	7	5	7
stripper	A6017F3765F180AEB82A42E8140E3030	2	5	5	4
reused	A6017F3765F180AEB82A42E8140E3030	2	7	5	5
freshener	A6017F3765F180AEB82A42E8140E3030	1	5	5	8
saint	A6017F3765F180AEB82A42E8140E3030	1	7	5	7
prostitution	A6017F3765F180AEB82A42E8140E3030	1	5	5	2
olive	A6017F3765F180AEB82A42E8140E3030	2	5	5	5
lush	A6017F3765F180AEB82A42E8140E3030	2	5	5	5
sting	A6017F3765F180AEB82A42E8140E3030	2	5	5	5
Catholics	331B9E8C876C28062EA65DF6818E6E7C	1	5	1	5
olive	331B9E8C876C28062EA65DF6818E6E7C	1	5	1	8
abstinence	331B9E8C876C28062EA65DF6818E6E7C	1	5	1	2
priest	331B9E8C876C28062EA65DF6818E6E7C	1	5	1	7
hygiene	331B9E8C876C28062EA65DF6818E6E7C	1	5	1	8
prostitution	331B9E8C876C28062EA65DF6818E6E7C	1	5	1	2
lush	331B9E8C876C28062EA65DF6818E6E7C	2	5	1	5
protect	331B9E8C876C28062EA65DF6818E6E7C	1	5	1	7
vertigo	331B9E8C876C28062EA65DF6818E6E7C	1	5	1	5
saint	331B9E8C876C28062EA65DF6818E6E7C	1	5	1	8
scam	331B9E8C876C28062EA65DF6818E6E7C	1	5	1	2
deluded	331B9E8C876C28062EA65DF6818E6E7C	1	5	1	1
stripper	0E2D21D7F14DE509C3CD4A1C06D2C1AE	2	4	4	2
tasteless	0E2D21D7F14DE509C3CD4A1C06D2C1AE	1	4	5	6
abstinence	0E2D21D7F14DE509C3CD4A1C06D2C1AE	1	5	5	6
lush	0E2D21D7F14DE509C3CD4A1C06D2C1AE	1	1	2	1
saint	07721963E60915FD7BB9E4C36A076525	1	7	2	8
tasteless	07721963E60915FD7BB9E4C36A076525	1	2	3	9
deluded	07721963E60915FD7BB9E4C36A076525	1	1	5	1
freshener	0E2D21D7F14DE509C3CD4A1C06D2C1AE	1	8	5	8
abstinence	07721963E60915FD7BB9E4C36A076525	1	1	5	1
reused	07721963E60915FD7BB9E4C36A076525	2	5	5	5
perversion	07721963E60915FD7BB9E4C36A076525	1	5	6	1
priest	07721963E60915FD7BB9E4C36A076525	2	5	5	5
filigree	07721963E60915FD7BB9E4C36A076525	2	5	5	5
lush	07721963E60915FD7BB9E4C36A076525	2	5	2	5
stripper	07721963E60915FD7BB9E4C36A076525	2	5	5	5
prostitution	07721963E60915FD7BB9E4C36A076525	1	3	7	1
reused	0E2D21D7F14DE509C3CD4A1C06D2C1AE	2	5	4	5
hygiene	07721963E60915FD7BB9E4C36A076525	1	9	9	1
patina	0E2D21D7F14DE509C3CD4A1C06D2C1AE	1	3	4	2
protect	0E2D21D7F14DE509C3CD4A1C06D2C1AE	1	5	5	7
priest	0E2D21D7F14DE509C3CD4A1C06D2C1AE	1	4	4	5
olive	0E2D21D7F14DE509C3CD4A1C06D2C1AE	2	5	5	5
prostitution	0E2D21D7F14DE509C3CD4A1C06D2C1AE	1	5	5	3
tasteless	F1B127589B5423CD9F5EE19DA8D11472	1	2	1	4
saint	F1B127589B5423CD9F5EE19DA8D11472	1	8	8	9
lush	F1B127589B5423CD9F5EE19DA8D11472	1	5	3	7
prostitution	F1B127589B5423CD9F5EE19DA8D11472	2	2	2	2
abstinence	F1B127589B5423CD9F5EE19DA8D11472	1	5	1	5
priest	F1B127589B5423CD9F5EE19DA8D11472	1	6	1	9
scam	F1B127589B5423CD9F5EE19DA8D11472	1	5	1	4
protect	F1B127589B5423CD9F5EE19DA8D11472	1	3	1	8
vertigo	F1B127589B5423CD9F5EE19DA8D11472	1	4	3	4
hygiene	EB3E09ADE7EA6B6C5A3EB0AE35930289	1	5	1	7
freshener	EB3E09ADE7EA6B6C5A3EB0AE35930289	2	5	1	5
stripper	EB3E09ADE7EA6B6C5A3EB0AE35930289	2	5	1	5
hygiene	4AF2918C51AACD3F4A85B180D4774FF3	1	9	1	9
patina	EB3E09ADE7EA6B6C5A3EB0AE35930289	2	5	1	5
tasteless	EB3E09ADE7EA6B6C5A3EB0AE35930289	2	5	1	5
vertigo	4AF2918C51AACD3F4A85B180D4774FF3	2	1	6	1
perversion	EB3E09ADE7EA6B6C5A3EB0AE35930289	2	5	1	5
olive	EB3E09ADE7EA6B6C5A3EB0AE35930289	2	5	1	5
priest	EB3E09ADE7EA6B6C5A3EB0AE35930289	1	5	1	8
abstinence	EB3E09ADE7EA6B6C5A3EB0AE35930289	1	5	1	8
abstinence	4AF2918C51AACD3F4A85B180D4774FF3	2	1	9	1
prostitution	EB3E09ADE7EA6B6C5A3EB0AE35930289	2	5	1	5
saint	EB3E09ADE7EA6B6C5A3EB0AE35930289	2	5	1	5
reused	EB3E09ADE7EA6B6C5A3EB0AE35930289	2	5	3	5
perversion	4AF2918C51AACD3F4A85B180D4774FF3	1	6	4	3
freshener	4AF2918C51AACD3F4A85B180D4774FF3	1	6	3	7
tasteless	4AF2918C51AACD3F4A85B180D4774FF3	2	5	1	1
stripper	4AF2918C51AACD3F4A85B180D4774FF3	1	1	8	1
protect	4AF2918C51AACD3F4A85B180D4774FF3	2	6	6	8
olive	4AF2918C51AACD3F4A85B180D4774FF3	2	5	5	5
stripper	38216E92EB31E7C8D99937F4BD081EBF	2	1	3	1
filigree	4AF2918C51AACD3F4A85B180D4774FF3	2	4	6	5
priest	38216E92EB31E7C8D99937F4BD081EBF	2	5	1	5
filigree	38216E92EB31E7C8D99937F4BD081EBF	2	5	5	3
priest	4AF2918C51AACD3F4A85B180D4774FF3	1	2	5	1
sting	4AF2918C51AACD3F4A85B180D4774FF3	2	1	9	1
tasteless	38216E92EB31E7C8D99937F4BD081EBF	1	4	4	7
perversion	38216E92EB31E7C8D99937F4BD081EBF	1	3	4	2
vertigo	38216E92EB31E7C8D99937F4BD081EBF	2	5	5	5
hygiene	38216E92EB31E7C8D99937F4BD081EBF	1	7	7	8
protect	38216E92EB31E7C8D99937F4BD081EBF	1	7	8	9
reused	38216E92EB31E7C8D99937F4BD081EBF	2	5	5	5
freshener	38216E92EB31E7C8D99937F4BD081EBF	1	7	7	9
olive	38216E92EB31E7C8D99937F4BD081EBF	2	5	5	5
Catholics	38216E92EB31E7C8D99937F4BD081EBF	1	1	1	1
sting	6A6B54F8CACB4FD119F388CEAD15F9F1	1	5	5	7
freshener	6A6B54F8CACB4FD119F388CEAD15F9F1	1	5	6	7
lush	6A6B54F8CACB4FD119F388CEAD15F9F1	2	3	3	2
filigree	6A6B54F8CACB4FD119F388CEAD15F9F1	1	7	7	7
patina	6A6B54F8CACB4FD119F388CEAD15F9F1	1	5	6	5
protect	6A6B54F8CACB4FD119F388CEAD15F9F1	1	7	7	7
vertigo	6A6B54F8CACB4FD119F388CEAD15F9F1	1	5	5	5
scam	6A6B54F8CACB4FD119F388CEAD15F9F1	1	5	5	4
deluded	6A6B54F8CACB4FD119F388CEAD15F9F1	1	5	5	5
protect	136D0D9D785E0C49EEA21431A7BD53C3	1	7	2	7
Catholics	6A6B54F8CACB4FD119F388CEAD15F9F1	1	6	6	6
sting	136D0D9D785E0C49EEA21431A7BD53C3	1	3	7	3
reused	6A6B54F8CACB4FD119F388CEAD15F9F1	1	5	5	5
Catholics	136D0D9D785E0C49EEA21431A7BD53C3	1	5	5	7
vertigo	136D0D9D785E0C49EEA21431A7BD53C3	2	2	7	5
patina	136D0D9D785E0C49EEA21431A7BD53C3	2	4	5	4
deluded	136D0D9D785E0C49EEA21431A7BD53C3	1	3	6	4
filigree	136D0D9D785E0C49EEA21431A7BD53C3	2	5	5	5
scam	136D0D9D785E0C49EEA21431A7BD53C3	1	2	7	2
scam	E13DC3F234ADDF0F3880FD38E88498EE	2	3	2	3
deluded	E13DC3F234ADDF0F3880FD38E88498EE	1	2	2	5
sting	E13DC3F234ADDF0F3880FD38E88498EE	2	3	6	3
Catholics	E13DC3F234ADDF0F3880FD38E88498EE	1	8	5	8
abstinence	84FEF9EC0F2118F514F459BC09442B44	1	4	1	9
abstinence	ACDD6FA536A0E1CE6C65A3F5687F3BAC	1	9	6	9
abstinence	328DA17593A61A80331F656D235924D7	1	8	1	9
abstinence	6FDC176B32102D0FD3346891DB2B7CE8	1	5	5	5
abstinence	7CA3E2D48A821D8A31AF4F3F6E60C1DB	1	5	5	7
abstinence	3CDD533C51DD875FFF5047BC36C8013C	1	7	7	9
adulterated	BD7BAC8E9D7326073CAEE7890D821A5E	1	5	5	1
adulterated	50F1D17435B53F4BE0F5D1F47C8D7826	1	5	5	3
adulterated	6FDC176B32102D0FD3346891DB2B7CE8	1	6	6	3
adulterated	ED6CD4280DDF769BDC7E11BCEDC67366	1	5	5	5
adulterated	167524568E2482B4FBE330252D2C245C	1	4	5	4
adulterated	B0CB2A2931329F9B1C4F8301DBA3D962	1	2	5	1
adulterine	44F556E275E2E4D7E37B07D9CB6C422F	1	1	2	1
adulterine	BCC3FDECA7E357C86CE9B1AA10187BDF	1	5	6	2
adulterine	9B283B91BED0593732408E71DCB958CC	1	5	5	3
adulterine	6FDC176B32102D0FD3346891DB2B7CE8	1	6	6	7
adulterine	3CDD533C51DD875FFF5047BC36C8013C	1	3	5	2
adulterine	1CE4D361B7E1437EEBF7EF4BC750E5FE	1	5	7	2
adulterine	7DC67BBF88C50FC5307BB1D499262BDD	1	4	6	6
adultery	828644F1A00109DB859E9DD98663375B	1	1	5	3
adultery	133A7FC3883AA857DEC2FE736035F72E	1	2	8	2
adultery	CBCA895F2198D1F92E028E41EB07F425	1	1	7	1
adultery	9B283B91BED0593732408E71DCB958CC	1	3	5	2
adultery	7035D5B69A7099407AF2785443AEE603	1	2	6	1
adultery	F15BBE2EC0C76ECDC79E67072AFA13AB	1	2	2	1
apostasy	328DA17593A61A80331F656D235924D7	1	1	5	1
apostasy	D666A838B0049A29D46688C4BA6DE562	1	5	5	5
apostasy	BD581F60AB9DCF0721CDE3376393F0A2	1	5	6	5
apostasy	0FBCF9E6E8EA2D758E4423A0AF949CAF	1	3	7	2
apostasy	9CF68A9F4DA2D683502B19728F0E0200	1	5	5	3
apostate	9F11D5420A244BE16C9407E0EBC5B622	1	4	3	4
apostate	1FD1B2321B3108A445CB7AC2A1317AE8	1	5	7	5
apostate	9035EBF4A80815ABC88F291EB0F29C0D	1	5	5	2
apostate	E880D3B6BCC7E439CF9E61AB991C6FA1	1	2	2	2
apostate	A63FB58F58852B56E6A3CA1358BB371E	1	1	5	1
apostate	BD581F60AB9DCF0721CDE3376393F0A2	1	5	5	5
apostate	0FBCF9E6E8EA2D758E4423A0AF949CAF	1	3	7	2
austerity	E1AEB88F139FA203F79AF7DF687584F6	1	6	5	6
austerity	382235231A1554D2CF102326A186B317	1	7	7	6
austerity	927C72C515189A6068C4C3A5180CEAED	1	5	5	5
austerity	B0CB2A2931329F9B1C4F8301DBA3D962	1	5	5	5
austerity	12B3A16AD0AE1C8C6BDED1AB6445EE6E	1	5	5	5
blemish	382235231A1554D2CF102326A186B317	1	2	6	3
blemish	FFAE76C0572CBFE2302F37419B438E35	1	5	1	5
blemish	85CD358454F9332285BAF07D70D83AA3	1	5	4	1
blemish	1CE4D361B7E1437EEBF7EF4BC750E5FE	1	4	7	5
blemish	7DC67BBF88C50FC5307BB1D499262BDD	1	7	7	8
celibacy	7EDBE0DF68F3ECE02C11A7C1C061D7D4	1	5	2	9
celibacy	328DA17593A61A80331F656D235924D7	1	9	1	9
celibacy	E880D3B6BCC7E439CF9E61AB991C6FA1	1	5	6	8
celibacy	927C72C515189A6068C4C3A5180CEAED	1	3	4	6
celibacy	89BA7FECF021F5557FD8785B8947AB6B	1	1	1	8
celibate	A63FB58F58852B56E6A3CA1358BB371E	1	5	5	9
celibate	9ADD0ACCFEDEACE5717A3262B7BF41FB	1	7	6	9
celibate	BD581F60AB9DCF0721CDE3376393F0A2	1	5	5	9
celibate	0FBCF9E6E8EA2D758E4423A0AF949CAF	1	2	8	2
celibate	F97D7A4CB94ED478832ABF67B335C6AE	1	5	5	8
chaste	E1AEB88F139FA203F79AF7DF687584F6	1	7	6	8
chaste	1FD1B2321B3108A445CB7AC2A1317AE8	1	5	6	3
chaste	BCC3FDECA7E357C86CE9B1AA10187BDF	1	5	5	8
chaste	F15BBE2EC0C76ECDC79E67072AFA13AB	1	8	3	9
chaste	652003367F76973727FB50F81D808A43	1	7	1	9
chaste	BD581F60AB9DCF0721CDE3376393F0A2	1	5	5	8
chaste	F97D7A4CB94ED478832ABF67B335C6AE	1	8	5	8
chastening	E1AEB88F139FA203F79AF7DF687584F6	1	5	4	4
chastening	BCC3FDECA7E357C86CE9B1AA10187BDF	1	5	6	9
chastening	7035D5B69A7099407AF2785443AEE603	1	3	5	7
chastening	89BA7FECF021F5557FD8785B8947AB6B	1	1	1	9
chastening	652003367F76973727FB50F81D808A43	1	3	3	5
chastening	9CF68A9F4DA2D683502B19728F0E0200	1	2	7	5
church	4519A9BF578F30C8200843E521E6D0BA	1	5	5	8
